Line count,Response time,current time,app id
1,9242.517,Konnichiwa from hello-edge-node-e1zri in edge-node,6
2,9911.894999999999,Konnichiwa from hello-edge-node-e1zri in edge-node,10
3,7578.443,Konnichiwa from hello-edge-node-e1zri in edge-node,3
4,7.707000000000001,Konnichiwa from hello-edge-node-e1zri in edge-node,3
5,3.3440000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,10
6,3.785,Konnichiwa from hello-edge-node-e1zri in edge-node,6
7,3.767,Konnichiwa from hello-edge-node-e1zri in edge-node,3
8,3.507,Konnichiwa from hello-edge-node-e1zri in edge-node,10
9,3.494,Konnichiwa from hello-edge-node-e1zri in edge-node,3
10,3.777,Konnichiwa from hello-edge-node-e1zri in edge-node,6
11,4.1739999999999995,Konnichiwa from hello-edge-node-e1zri in edge-node,3
12,3.96,Konnichiwa from hello-edge-node-e1zri in edge-node,10
13,3.402,Konnichiwa from hello-edge-node-e1zri in edge-node,3
14,3.4819999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,6
15,3.886,Konnichiwa from hello-edge-node-e1zri in edge-node,10
16,3.397,Konnichiwa from hello-edge-node-e1zri in edge-node,3
17,3.384,Konnichiwa from hello-edge-node-e1zri in edge-node,6
18,2.907,Konnichiwa from hello-edge-node-e1zri in edge-node,10
19,3.747,Konnichiwa from hello-edge-node-e1zri in edge-node,3
20,3.4880000000000004,Konnichiwa from hello-edge-node-e1zri in edge-node,10
21,3.3579999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,6
22,3.362,Konnichiwa from hello-edge-node-e1zri in edge-node,3
23,3.516,Konnichiwa from hello-edge-node-e1zri in edge-node,10
24,3.764,Konnichiwa from hello-edge-node-e1zri in edge-node,6
25,3.463,Konnichiwa from hello-edge-node-e1zri in edge-node,3
26,3.363,Konnichiwa from hello-edge-node-e1zri in edge-node,10
27,3.613,Konnichiwa from hello-edge-node-e1zri in edge-node,6
28,3.356,Konnichiwa from hello-edge-node-e1zri in edge-node,3
29,3.521,Konnichiwa from hello-edge-node-e1zri in edge-node,10
30,3.238,Konnichiwa from hello-edge-node-e1zri in edge-node,6
31,3.3040000000000003,Konnichiwa from hello-edge-node-e1zri in edge-node,3
32,3.7039999999999997,Konnichiwa from hello-edge-node-e1zri in edge-node,10
33,3.9979999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,6
34,3.776,Konnichiwa from hello-edge-node-e1zri in edge-node,10
35,3.7169999999999996,Konnichiwa from hello-edge-node-e1zri in edge-node,3
36,3.806,Konnichiwa from hello-edge-node-e1zri in edge-node,10
37,3.967,Konnichiwa from hello-edge-node-e1zri in edge-node,3
38,4.042,Konnichiwa from hello-edge-node-e1zri in edge-node,6
39,3.59,Konnichiwa from hello-edge-node-e1zri in edge-node,10
40,3.628,Konnichiwa from hello-edge-node-e1zri in edge-node,3
41,4.004,Konnichiwa from hello-edge-node-e1zri in edge-node,10
42,3.702,Konnichiwa from hello-edge-node-e1zri in edge-node,6
43,3.578,Konnichiwa from hello-edge-node-e1zri in edge-node,10
44,3.1189999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,3
45,3.863,Konnichiwa from hello-edge-node-e1zri in edge-node,3
46,3.6189999999999998,Konnichiwa from hello-edge-node-e1zri in edge-node,10
47,3.731,Konnichiwa from hello-edge-node-e1zri in edge-node,6
48,4.854,Konnichiwa from hello-edge-node-e1zri in edge-node,3
49,3.424,Konnichiwa from hello-edge-node-e1zri in edge-node,10
50,3.644,Konnichiwa from hello-edge-node-e1zri in edge-node,6
51,4.186,Konnichiwa from hello-edge-node-e1zri in edge-node,3
